        REPORTE DE PRUEBA DE GANANCIAS EN EL TIEMPO
============================================================
        No.     ANIO     GANANCIA (en millones de dolares)
------------------------------------------------------------
         1)     1867                  91
         2)     1868                  88
         3)     1869                  64
         4)     1870                  11
         5)     1871                   2
         6)     1872                  92
         7)     1873                  67
         8)     1874                  50
         9)     1875                  48
        10)     1876                  14
        11)     1877                  13
        12)     1878                  10
        13)     1879                  17
        14)     1880                  52
        15)     1881                  69
        16)     1882                  43
        17)     1883                  56
        18)     1884                  60
        19)     1885                  78
        20)     1886                  93
        21)     1887                  31
        22)     1888                  14
        23)     1889                   6
        24)     1890                  51
        25)     1891                  49
        26)     1892                  88
        27)     1893                  91
        28)     1894                  79
        29)     1895                  51
        30)     1896                  41
        31)     1897                  25
        32)     1898                   8
        33)     1899                   2
        34)     1900                  55
        35)     1901                  78
        36)     1902                  38
        37)     1903                  69
        38)     1904                  60
        39)     1905                  89
        40)     1906                  42
        41)     1907                  75
        42)     1908                  73
        43)     1909                  70
        44)     1910                  68
        45)     1911                  67
        46)     1912                  64
        47)     1913                  61
        48)     1914                  58
        49)     1915                  55
        50)     1916                  40
        51)     1917                  31
        52)     1918                  25
        53)     1919                  14
        54)     1920                  33
        55)     1921                  45
        56)     1922                  67
        57)     1923                  60
        58)     1924                  55
        59)     1925                  53
        60)     1926                  55
        61)     1927                  57
        62)     1928                  62
        63)     1929                  64
        64)     1930                  68
        65)     1931                  72
        66)     1932                  73
        67)     1933                  78
        68)     1934                  65
        69)     1935                  44
        70)     1936                  22
        71)     1937                   4
        72)     1938                  16
        73)     1939                  21
        74)     1940                  67
        75)     1941                  75
        76)     1942                  95
        77)     1943                 100
        78)     1944                  91
        79)     1945                  85
        80)     1946                  84
        81)     1947                  23
        82)     1948                  14
        83)     1949                  22
        84)     1950                  19
        85)     1951                  33
        86)     1952                  14
        87)     1953                  28
        88)     1954                  37
        89)     1955                  34
        90)     1956                  41
        91)     1957                  39
        92)     1958                  56
        93)     1959                  50
        94)     1960                  67
        95)     1961                  59
        96)     1962                  71
        97)     1963                  68
        98)     1964                  81
        99)     1965                  91
       100)     1966                  93
       101)     1967                  55
       102)     1968                  12
       103)     1969                  36
       104)     1970                  17
       105)     1971                  58
       106)     1972                  50
       107)     1973                  50
       108)     1974                  50
       109)     1975                  33
       110)     1976                  33
       111)     1977                  33
       112)     1978                  45
       113)     1979                  78
       114)     1980                  77
       115)     1981                  76
       116)     1982                  75
       117)     1983                  12
       118)     1984                  14
       119)     1985                  16
       120)     1986                  18
       121)     1987                  25
       122)     1988                  35
       123)     1989                  45
       124)     1990                  41
       125)     1991                  53
       126)     1992                  55
       127)     1993                  67
       128)     1994                  87
       129)     1995                  62
       130)     1996                  67
       131)     1997                  55
       132)     1998                  32
       133)     1999                  12
       134)     2000                  56
       135)     2001                   5
       136)     2002                  12
       137)     2003                  24
       138)     2004                  37
       139)     2005                  12
       140)     2006                  56
       141)     2007                  98
       142)     2008                  93
       143)     2009                  99
       144)     2010                  59
       145)     2011                  49
       146)     2012                  38
       147)     2013                  36
       148)     2014                  74
       149)     2015                  33
       150)     2016                  58
============================================================
