==============================
    DATOS DE MEDICOS
  No.   Codigo   Tarifa
   1)   50611    337.03
   2)   15092    756.45
   3)   60184    738.90
   4)   90798    758.51
   5)   80786    997.38
   6)   70233    902.38
   7)   89213    389.91
   8)   90907    470.72
   9)   60934    526.45
  10)   14787    298.45
  11)   60049    780.49
  12)   70269    523.53
  13)   53556    410.37
  14)   70612    842.24
  15)   64405    232.61
  16)   90929    405.69
  17)   70367    781.15
  18)   18708    176.60
  19)   80138    319.80
  20)   35451    897.50
  21)   70992    525.59
  22)   49768    197.06
  23)   33687    654.46
  24)   70789     19.29
  25)   18262    981.29
  26)   14655    940.91
  27)   80227    170.85
  28)   34115    893.34
  29)   80040      4.56
  30)   25448    496.87
  31)   40414     55.48
  32)   90562    869.33
  33)   91509    146.35
  34)   30557    169.44
  35)   20189    854.93
  36)   30082    184.46
  37)   50718    264.21
  38)   52063    792.07
  39)   80063    256.05
  40)   19777    977.98
==============================




==============================
    DATOS DE MEDICINAS
  No.   Codigo   Precio
   1)   60509     58.65
   2)   73972     54.40
   3)   94429     52.70
   4)   43709     78.20
   5)   82469     60.35
   6)   93578     55.25
   7)   26484     29.75
   8)   95196     62.05
   9)   65667     61.20
  10)   94415     68.85
  11)   11370      2.55
  12)   49644     73.95
  13)   76238     56.95
  14)   76596      9.35
  15)   48244     25.50
  16)   34070     73.10
  17)   70226     39.95
  18)   30220     39.95
  19)   88681     53.55
  20)   40645      4.25
  21)   77358     61.20
  22)   41995     25.50
  23)   90198     44.20
  24)   77466      5.95
  25)   61508      4.25
  26)   22842     47.60
  27)   53166      5.95
  28)   54692     28.90
  29)   85865      8.50
  30)   16055     45.90
  31)   22553     39.10
  32)   31311     65.45
  33)   43633     39.10
  34)   31389     52.70
  35)   79996     31.45
  36)   48039     11.90
  37)   16299     49.30
  38)   26506     28.05
  39)   89325     79.05
  40)   55701     46.75
  41)   16681     22.10
  42)   27016     51.00
  43)   85325     56.10
  44)   30428     19.55
  45)   15098     81.60
  46)   42861     23.80
  47)   13364     13.60
  48)   86451     21.25
  49)   32486     24.65
  50)   77203     80.75
  51)   30007      0.85
  52)   65536      1.70
  53)   84771     39.10
  54)   81695     15.30
  55)   49756     52.70
  56)   58200     56.10
  57)   89839     73.95
  58)   53084      0.85
  59)   61039     78.20
  60)   36822      9.35
  61)   24522     43.35
  62)   37007     47.60
  63)   17845      5.10
  64)   19397     37.40
  65)   45814     35.70
  66)   49157     66.30
  67)   72939     76.50
  68)   26920     45.05
  69)   31883     67.15
  70)   64347     65.45
  71)   30430     22.10
  72)   38648     69.70
  73)   59121     81.60
  74)   41379      1.70
  75)   42053     10.20
  76)   16359     75.65
  77)   17645     22.95
  78)   33276     11.05
  79)   98679     41.65
  80)   86828     32.30
  81)   95540     28.05
  82)   94459     53.55
  83)   60888      7.65
  84)   26754     68.00
  85)   79189     73.10
  86)   81333     40.80
  87)   33311     20.40
  88)   62302     41.65
  89)   72495     43.35
  90)   16813      5.95
  91)   36711     84.15
  92)   55021     82.45
  93)   34080     60.35
  94)   36622     57.80
  95)   72969     58.65
  96)   40997     41.65
  97)   67415     52.70
  98)   70024     68.85
  99)   22232     69.70
 100)   33390     28.90
 101)   58252     34.85
 102)   86476     11.05
 103)   96881      7.65
 104)   79851     84.15
 105)   30796     54.40
 106)   73174     41.65
 107)   76360     32.30
 108)   52072     63.75
 109)   68539      5.10
 110)   14075      9.35
 111)   53200     68.85
 112)   92628     45.90
 113)   47734     39.10
 114)   46919      5.95
 115)   57505     43.35
 116)   34027     79.05
 117)   96031     45.90
 118)   42856     10.20
 119)   48557     59.50
 120)   65985     79.90
 121)   41403     43.35
 122)   24733     59.50
 123)   31189     40.80
 124)   28219     82.45
 125)   28409      4.25
 126)   80830     78.20
 127)   84766     79.90
 128)   97465      4.25
 129)   30690     41.65
 130)   25684     84.15
 131)   84555      4.25
 132)   72061     51.00
 133)   55439     72.25
 134)   92517     11.90
 135)   37549     44.20
 136)   43222     11.05
 137)   92560     28.90
 138)   81821     61.20
 139)   51148     56.10
 140)   39088     11.90
 141)   74680     56.10
 142)   85641     28.90
 143)   27447     59.50
 144)   61295     84.15
 145)   44253     36.55
 146)   57036     38.25
 147)   22306     76.50
 148)   53846     47.60
 149)   63555     43.35
 150)   70303     72.25
 151)   36649     79.05
 152)   96554      4.25
 153)   86681      8.50
 154)   44215     33.15
 155)   62008     17.85
 156)   68610     51.85
 157)   55813     22.95
 158)   50450     74.80
 159)   67784     73.95
 160)   82528     19.55
 161)   28892     26.35
 162)   86158     47.60
 163)   77534     38.25
 164)   81960     81.60
 165)   60086     23.80
 166)   70225     47.60
 167)   83801     37.40
 168)   83510     22.95
 169)   11592     68.00
 170)   47697     14.45
 171)   59395     16.15
 172)   60685     79.90
 173)   58259     85.00
 174)   17790     17.00
 175)   34066     51.85
 176)   70113     30.60
 177)   14962     46.75
 178)   91282      6.80
 179)   76247     59.50
 180)   12388     76.50
 181)   80839     51.00
 182)   70807     22.95
 183)   70950     45.05
 184)   88994     39.10
 185)   90300     40.80
 186)   26360      8.50
 187)   46000     50.15
 188)   61211     78.20
 189)   89528     13.60
 190)   58036     33.15
 191)   39779     85.00
 192)   91653     40.80
 193)   49685     45.05
 194)   36208     63.75
 195)   30228     12.75
 196)   33200     76.50
 197)   18672     15.30
 198)   17804     10.20
 199)   68346     10.20
 200)   75565     46.75
 201)   57269     34.00
 202)   28992     64.60
 203)   70116     23.80
 204)   68730      0.85
 205)   88266     73.95
 206)   98261     70.55
 207)   40862     76.50
 208)   68860     59.50
 209)   39172     41.65
 210)   74924     37.40
 211)   81062      9.35
==============================
