                                        EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                            RELACION DE LOS PLATOS VENDIDOS
========================================================================================================================
                             CANTIDAD DE PLATOS                                          MONTOS RECAUDADOS
CODIGO   PRECIO      PREPARADOS   ATENDIDOS   NO ATENDIDOS      DESCUENTO       ESPERADO        BRUTO      RECIBIDO
------------------------------------------------------------------------------------------------------------------------
53265     12.90         150         150            58             0.00%         1935.00        1816.50       926.28
77493     23.90         147         147            52            12.78%         3513.30        4981.60       965.26
39955     73.90         145         145            51            14.83%        10715.50        8270.16       874.50
39536     15.50         137         137            69             0.00%         2123.50        1981.48      3099.60
39160     15.50         135         135            44            17.39%         2092.50        1605.20      2857.41
39265     49.90         125         125             7             8.70%         6237.50         487.50       308.00
39695     36.90         119         119            45            19.63%         4391.10        3513.30       245.57
15724     31.50         119         119            46             0.00%         3748.50        2872.09       952.29
77910     22.90         117         117            53             0.00%         2679.30        3542.03      1593.60
39584     15.50         116         116            65            13.44%         1798.00        6754.03      1404.41
53518     15.90         105         105            78             0.00%         1669.50        2359.50      1097.80
15116     49.90         103         103            60             9.18%         5139.70        5095.78       988.08
77381     32.90         102         102            29             0.00%         3355.80        6237.50       569.80
39431     12.50         100         100            67            11.05%         1250.00        1398.76       569.80
15864     32.50          97          97             5            16.73%         3152.50        2679.30       514.80
15823     36.90          84          84            18             0.00%         3099.60        1016.97       250.70
77606     24.90          82          82            24            19.98%         2041.80        1250.00       224.81
11871     54.90          80          80             3            11.86%         4392.00         577.30       213.90
15197     47.50          78          78            51            11.82%         3705.00         637.00       572.40
53814      9.90          76          76            44            10.91%          752.40        5139.70       171.50
77487     24.90          76          76            12             9.72%         1892.40        3547.46       162.91
11850     53.90          75          75             1             0.00%         4042.50        4392.00       318.00
77572     18.90          73          73            28             0.00%         1379.70        3047.89       482.48
11751      8.90          73          73            22             0.00%          649.70        5280.24       461.63
31815     30.90          71          71            24             0.00%         2193.90         623.69      1176.60
77703     24.90          70          70            11             0.00%         1743.00         744.56       276.00
15950     43.90          62          62             1             8.90%         2721.80        1505.70      1189.76
77214     22.90          57          57             1             0.00%         1305.30         841.50       958.40
73500     12.90          57          57            20             0.00%          735.30        1396.90       478.00
11471      8.90          57          57            63             0.00%          507.30        1128.89       866.64
39475     71.90          55          55            11            18.66%         3954.50        7094.40       470.01
15283     33.50          55          55            18             0.00%         1842.50         819.00      1733.14
15756     50.90          54          54             4             0.00%         2748.60        1664.98      1386.50
15745     48.90          50          50            43            14.48%         2445.00        1909.50       740.58
11731      8.90          46          46             1             0.00%          409.40        3683.67      2191.30
53764      6.90          40          40             3            10.57%          276.00        2721.80       470.42
15153     18.90          38          38            22            19.04%          718.20        1842.50       588.56
15611     46.90          36          36             4             0.00%         1688.40        3788.70       920.13
53939      4.90          35          35             4             0.00%          171.50        4275.60       590.40
11172     15.90          34          34             5             5.53%          540.60         504.82       292.60
15525     58.50          34          34            32            18.60%         1989.00        5000.54       163.80
39489      7.00          33          33            12             0.00%          231.00        1543.64       421.48
39141     21.90          32          32            25             6.80%          700.80        2041.80      1069.50
53760      6.90          31          31             2            10.76%          213.90         468.76        87.60
15760     34.50          31          31            11             0.00%         1069.50         412.80       831.30
39810     71.90          26          26             2             0.00%         1869.40        1379.70       718.20
15404     17.90          25          25             2             0.00%          447.50        2484.07       626.77
77894     32.90          25          25             1             5.74%          822.50        1935.00       374.99
15510     35.90          18          18             1            14.80%          646.20         657.00       720.00
15945     48.90          17          17             2             0.00%          831.30        1602.32      1688.40
========================================================================================================================
                                                                TOTALES:      108579.20      130555.12     40856.63
========================================================================================================================
