                                        EMPRESA DE REPARTOS A DOMICILIO TP S. A.
                                            RELACION DE LOS PLATOS VENDIDOS
========================================================================================================================
                             CANTIDAD DE PLATOS                                          MONTOS RECAUDADOS
CODIGO   PRECIO      PREPARADOS   ATENDIDOS   NO ATENDIDOS      DESCUENTO       ESPERADO        BRUTO      RECIBIDO
------------------------------------------------------------------------------------------------------------------------
53265     12.90         150         150            58             0.00%         1935.00        1816.50       926.28
15319     47.90         148         104             0             0.00%         7089.20        4445.11      1236.60
77493     23.90         147         147            52            12.78%         3513.30        4981.60       965.26
39955     73.90         145         145            51            14.83%        10715.50        8270.16       874.50
53377      3.90         145         125             0             0.00%          565.50         446.75       595.40
39536     15.50         137         137            69             0.00%         2123.50        1981.48      3099.60
39160     15.50         135         135            44            17.39%         2092.50        1605.20      2857.41
15136     60.50         132         128             0             5.45%         7986.00        2092.50      1341.90
73428     19.50         130         121             0             0.00%         2535.00        2123.50       269.71
39199     10.50         125         102             0             0.00%         1312.50       10715.50      1276.00
39265     49.90         125         125             7             8.70%         6237.50         487.50       308.00
39695     36.90         119         119            45            19.63%         4391.10        3513.30       245.57
15724     31.50         119         119            46             0.00%         3748.50        2872.09       952.29
77910     22.90         117         117            53             0.00%         2679.30        3542.03      1593.60
39584     15.50         116         116            65            13.44%         1798.00        6754.03      1404.41
39738     18.90         112         105             0             0.00%         2116.80        3748.50      3355.80
15479     51.90         110         106             0             0.00%         5709.00        1003.14      3165.29
15665     50.90         108          84             0            18.94%         5497.20        2147.64       127.60
15365     44.90         107         105             0             5.28%         4804.30        1071.00       327.80
53518     15.90         105         105            78             0.00%         1669.50        2359.50      1097.80
15116     49.90         103         103            60             9.18%         5139.70        5095.78       988.08
77381     32.90         102         102            29             0.00%         3355.80        6237.50       569.80
77690     32.90         101          79             0             0.00%         3322.90        2452.39      1356.00
39431     12.50         100         100            67            11.05%         1250.00        1398.76       569.80
39851     73.90          99          96             0            16.73%         7316.10        1798.00       646.20
15864     32.50          97          97             5            16.73%         3152.50        2679.30       514.80
15621     33.50          97          90             0            13.94%         3249.50        2316.73      1892.40
15297     51.90          93          73             0             0.00%         4826.70        1785.07      1268.70
39227      7.00          93          91             0             0.00%          651.00        3015.00      1160.10
11611     15.90          92          74             0            15.19%         1462.80        2399.86      1160.10
39903     10.50          91          78             0            13.99%          955.50        3152.50      2193.90
53546      9.90          89          85             0             7.19%          881.10        1984.50      2046.02
15419     37.90          87          72             0             0.00%         3297.30        7744.00       735.30
39747      7.00          86          73             0             9.03%          602.00        3124.99       679.85
15823     36.90          84          84            18             0.00%         3099.60        1016.97       250.70
77606     24.90          82          82            24            19.98%         2041.80        1250.00       224.81
11871     54.90          80          80             3            11.86%         4392.00         577.30       213.90
15608     27.90          80          67             0             0.00%         2232.00        1534.51       161.44
90766     25.90          79          67             0             0.00%         2046.10        1669.50       219.70
