                  VERIFICACION DE LA CARGA DE DATOS DE PLATOS
================================================================================
CODIGO   CANT.VENDIDA   PRECIO   INGRESO BRUTO  HAY DESCUENTO  DESCUENTO   TOTAL
--------------------------------------------------------------------------------
90766         67         25.90      1735.30         NO           0.00    1735.30
90758         53         25.90      1372.70         SI           7.08    1275.51
90365         22         25.90       569.80         NO           0.00     569.80
77971         63         23.90      1505.70         NO           0.00    1505.70
77910        170         22.90      3893.00         NO           0.00    3893.00
77894         26         32.90       855.40         SI           5.74     806.30
77762         20         23.90       478.00         NO           0.00     478.00
77703         81         24.90      2016.90         NO           0.00    2016.90
77691         32         23.90       764.80         NO           0.00     764.80
77690         79         32.90      2599.10         NO           0.00    2599.10
77606        106         24.90      2639.40         SI          19.98    2112.05
77572        101         18.90      1908.90         NO           0.00    1908.90
77549         71         18.90      1341.90         SI          19.71    1077.41
77493        199         23.90      4756.10         SI          12.78    4148.27
77487         88         24.90      2191.20         SI           9.72    1978.22
77419          4         31.90       127.60         NO           0.00     127.60
77381        131         32.90      4309.90         NO           0.00    4309.90
77214         58         22.90      1328.20         NO           0.00    1328.20
77156         54         22.90      1236.60         SI          13.52    1069.41
73500         77         12.90       993.30         NO           0.00     993.30
73428        121         19.50      2359.50         NO           0.00    2359.50
73410         32         12.90       412.80         NO           0.00     412.80
55338         61         22.90      1396.90         SI           9.46    1264.75
55330         64         24.90      1593.60         SI           6.30    1493.20
53991         42          3.90       163.80         NO           0.00     163.80
53957         23         10.90       250.70         NO           0.00     250.70
53939         39          4.90       191.10         NO           0.00     191.10
53814        120          9.90      1188.00         SI          10.91    1058.39
53764         43          6.90       296.70         SI          10.57     265.34
53760         33          6.90       227.70         SI          10.76     203.20
53546         85          9.90       841.50         SI           7.19     781.00
53518        183         15.90      2909.70         NO           0.00    2909.70
53502         22         15.90       349.80         SI          10.81     311.99
53477         36         15.90       572.40         SI          13.60     494.55
53377        125          3.90       487.50         NO           0.00     487.50
53265        208         12.90      2683.20         NO           0.00    2683.20
39987         21         15.50       325.50         NO           0.00     325.50
39955        196         73.90     14484.40         SI          14.83   12336.36
39903         78         10.50       819.00         SI          13.99     704.42
39896          9        128.90      1160.10         NO           0.00    1160.10
39864         44          7.00       308.00         SI          10.52     275.60
39851         96         73.90      7094.40         SI          16.73    5907.51
39810         28         71.90      2013.20         NO           0.00    2013.20
39747         73          7.00       511.00         SI           9.03     464.86
39738        105         18.90      1984.50         NO           0.00    1984.50
39695        164         36.90      6051.60         SI          19.63    4863.67
39584        181         15.50      2805.50         SI          13.44    2428.44
39536        206         15.50      3193.00         NO           0.00    3193.00
39489         45          7.00       315.00         NO           0.00     315.00
39475         66         71.90      4745.40         SI          18.66    3859.91
39442         30         21.90       657.00         SI          11.88     578.95
39431        167         12.50      2087.50         SI          11.05    1856.83
39265        132         49.90      6586.80         SI           8.70    6013.75
39227         91          7.00       637.00         NO           0.00     637.00
39199        102         10.50      1071.00         NO           0.00    1071.00
39160        179         15.50      2774.50         SI          17.39    2292.01
39141         57         21.90      1248.30         SI           6.80    1163.42
39137         60         12.00       720.00         NO           0.00     720.00
31815         95         30.90      2935.50         NO           0.00    2935.50
31796         40         31.90      1276.00         SI          19.94    1021.57
31644         40         33.90      1356.00         NO           0.00    1356.00
15950         63         43.90      2765.70         SI           8.90    2519.55
15945         19         48.90       929.10         NO           0.00     929.10
15926         22         49.90      1097.80         SI           5.90    1033.03
15921         47         29.50      1386.50         SI          16.09    1163.41
15864        102         32.50      3315.00         SI          16.73    2760.40
15823        102         36.90      3763.80         NO           0.00    3763.80
15760         42         34.50      1449.00         NO           0.00    1449.00
15756         58         50.90      2952.20         NO           0.00    2952.20
15745         93         48.90      4547.70         SI          14.48    3889.19
15724        165         31.50      5197.50         NO           0.00    5197.50
15665         84         50.90      4275.60         SI          18.94    3465.80
15621         90         33.50      3015.00         SI          13.94    2594.71
15611         40         46.90      1876.00         NO           0.00    1876.00
15608         67         27.90      1869.30         NO           0.00    1869.30
15592         15         33.90       508.50         NO           0.00     508.50
15578         72         33.50      2412.00         NO           0.00    2412.00
15539          4         21.90        87.60         SI          13.99      75.34
15525         66         58.50      3861.00         SI          18.60    3142.85
15510         19         35.90       682.10         SI          14.80     581.15
15488         13         16.90       219.70         SI          16.67     183.08
15479        106         51.90      5501.40         NO           0.00    5501.40
15419         72         37.90      2728.80         NO           0.00    2728.80
15404         27         17.90       483.30         NO           0.00     483.30
15392         38         18.90       718.20         NO           0.00     718.20
15378         57         33.50      1909.50         NO           0.00    1909.50
15365        105         44.90      4714.50         SI           5.28    4465.57
15326         16         36.90       590.40         SI          18.31     482.30
15319        104         47.90      4981.60         NO           0.00    4981.60
15297         73         51.90      3788.70         NO           0.00    3788.70
15283         73         33.50      2445.50         NO           0.00    2445.50
15272         16         59.90       958.40         SI           7.45     887.00
15197        129         47.50      6127.50         SI          11.82    5403.23
15153         60         18.90      1134.00         SI          19.04     918.09
15142         63         52.90      3332.70         SI           7.47    3083.75
15136        128         60.50      7744.00         SI           5.45    7321.95
15116        163         49.90      8133.70         SI           9.18    7387.03
11871         83         54.90      4556.70         SI          11.86    4016.28
11850         76         53.90      4096.40         NO           0.00    4096.40
11751         95          8.90       845.50         NO           0.00     845.50
11731         47          8.90       418.30         NO           0.00     418.30
11692         58         89.90      5214.20         SI          17.36    4309.01
11621         20         15.90       318.00         SI          11.30     282.07
11620         51         15.90       810.90         NO           0.00     810.90
11611         74         15.90      1176.60         SI          15.19     997.87
11500         17        128.90      2191.30         NO           0.00    2191.30
11471        120          8.90      1068.00         NO           0.00    1068.00
11283         22         14.90       327.80         SI          17.72     269.71
11172         39         15.90       620.10         SI           5.53     585.81
11171         55         15.90       874.50         SI          19.42     704.67
================================================================================
