================================================================================
                       DATOS ALMACENADOS DE INFRACCIONES
================================================================================
            No.          CODIGO                   VALOR DE LA MULTA
--------------------------------------------------------------------------------
             1)          G2007                         425.23
             2)          M1029                         586.45
             3)          M1018                         606.11
             4)          L3001                         214.55
             5)          G2072                         389.95
             6)          G2065                         378.40
             7)          G2052                         423.87
             8)          G2047                         359.93
             9)          G2031                         365.30
            10)          M1012                         631.29
            11)          M1036                         640.08
            12)          G2039                         394.23
            13)          G2010                         411.19
            14)          G2035                         379.06
            15)          M1025                         631.82
            16)          M1026                         637.20
            17)          M1017                         556.26
            18)          M1015                         570.44
            19)          M1038                         525.79
            20)          M1013                         650.26
            21)          M1006                        1221.06
            22)          M1046                         658.70
            23)          G2030                         433.12
            24)          L3002                         250.32
            25)          M1033                         624.62
            26)          G2064                         371.48
            27)          G2062                         409.30
            28)          G2018                         398.27
            29)          L3006                         220.25
            30)          G2063                         431.38
            31)          G2069                         359.96
            32)          G2051                         418.99
            33)          M1043                        6436.95
            34)          G2059                         396.39
            35)          G2054                         396.09
            36)          G2009                         368.89
            37)          M1001                        4791.53
            38)          G2029                         369.96
            39)          M1009                        1316.30
            40)          G2017                         377.41
            41)          G2067                         429.89
            42)          M1044                         270.72
            43)          M1016                         663.26
            44)          G2056                         417.99
            45)          M1002                        2310.06
            46)          M1048                         544.44
            47)          M1042                         602.86
            48)          G2001                         368.08
            49)          G2019                         425.21
            50)          G2073                         385.41
            51)          M1045                         546.13
            52)          G2022                         356.97
            53)          G2033                         428.40
            54)          M1037                         628.38
            55)          G2014                         399.25
            56)          L3004                         182.63
            57)          M1014                         538.95
            58)          G2070                         387.82
            59)          G2040                         352.29
            60)          G2011                         446.98
            61)          M1019                         523.54
            62)          M1039                         540.32
            63)          G2066                         429.96
            64)          M1032                         592.92
            65)          G2071                         362.03
            66)          L3007                         190.27
            67)          G2068                         391.39
            68)          M1035                         628.40
            69)          M1047                         520.07
            70)          L3005                         200.49
            71)          G2008                         379.12
            72)          M1024                         587.10
            73)          M1031                         567.23
            74)          G2037                         378.99
            75)          G2003                         410.24
            76)          G2046                         388.85
            77)          M1003                        2439.00
            78)          M1020                         801.96
            79)          M1040                         554.21
            80)          G2055                         436.61
            81)          G2041                         440.60
            82)          G2004                         416.07
            83)          G2002                         354.90
            84)          G2061                         403.13
            85)          M1034                         652.49
            86)          G2015                         398.94
            87)          G2044                         374.91
            88)          G2024                         390.26
            89)          G2012                         442.17
            90)          M1022                        2379.44
            91)          G2042                         398.23
            92)          G2074                         396.96
            93)          G2016                         414.10
            94)          M1021                        1183.65
            95)          G2053                         379.79
            96)          G2028                         404.47
            97)          M1010                         588.93
            98)          G2027                         344.75
            99)          L3003                         197.91
           100)          G2034                         371.82
           101)          G2023                         436.77
           102)          M1023                         988.72
           103)          G2005                         414.66
           104)          G2036                         391.76
           105)          G2020                         355.07
           106)          G2025                         433.04
           107)          M1004                        4337.78
           108)          G2049                         389.89
           109)          M1007                        1150.20
           110)          M1011                         567.15
           111)          G2006                         364.18
           112)          M1041                         617.43
           113)          G2038                         444.70
           114)          G2045                         420.91
           115)          G2013                         378.46
           116)          G2043                         424.99
           117)          M1030                        2799.88
           118)          G2060                         436.57
           119)          M1027                         646.55
           120)          G2021                         404.64
           121)          M1028                         585.46
           122)          M1008                        1159.22
           123)          G2058                         361.03
           124)          G2026                         366.43
           125)          G2048                         365.76
           126)          G2032                         361.87
           127)          G2057                         429.10
           128)          M1005                        2651.23
           129)          G2050                         444.75
================================================================================
